,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
0,0.1,0.001,0.01,0.0001,2,,,,
1,0.1,0.001,0.01,0.0001,6,,,,
2,0.1,0.001,0.01,0.0001,11,,,,
3,0.1,0.001,0.01,0.0001,15,,,,
4,0.1,0.001,0.01,0.0001,20,,,,
5,0.1,0.001,0.01,0.250075,2,,,,
6,0.1,0.001,0.01,0.250075,6,,,,
7,0.1,0.001,0.01,0.250075,11,,,,
8,0.1,0.001,0.01,0.250075,15,,,,
9,0.1,0.001,0.01,0.250075,20,,,,
10,0.1,0.001,0.01,0.50005,2,,,,
11,0.1,0.001,0.01,0.50005,6,,,,
12,0.1,0.001,0.01,0.50005,11,,,,
13,0.1,0.001,0.01,0.50005,15,,,,
14,0.1,0.001,0.01,0.50005,20,,,,
15,0.1,0.001,0.01,0.7500249999999999,2,,,,
16,0.1,0.001,0.01,0.7500249999999999,6,,,,
17,0.1,0.001,0.01,0.7500249999999999,11,,,,
18,0.1,0.001,0.01,0.7500249999999999,15,,,,
19,0.1,0.001,0.01,0.7500249999999999,20,,,,
20,0.1,0.001,0.01,1.0,2,,,,
21,0.1,0.001,0.01,1.0,6,,,,
22,0.1,0.001,0.01,1.0,11,,,,
23,0.1,0.001,0.01,1.0,15,,,,
24,0.1,0.001,0.01,1.0,20,,,,
25,0.1,0.001,50.0075,0.0001,2,,,,
26,0.1,0.001,50.0075,0.0001,6,,,,
27,0.1,0.001,50.0075,0.0001,11,,,,
28,0.1,0.001,50.0075,0.0001,15,,,,
29,0.1,0.001,50.0075,0.0001,20,,,,
30,0.1,0.001,50.0075,0.250075,2,,,,
31,0.1,0.001,50.0075,0.250075,6,,,,
32,0.1,0.001,50.0075,0.250075,11,,,,
33,0.1,0.001,50.0075,0.250075,15,,,,
34,0.1,0.001,50.0075,0.250075,20,,,,
35,0.1,0.001,50.0075,0.50005,2,,,,
36,0.1,0.001,50.0075,0.50005,6,,,,
37,0.1,0.001,50.0075,0.50005,11,,,,
38,0.1,0.001,50.0075,0.50005,15,,,,
39,0.1,0.001,50.0075,0.50005,20,,,,
40,0.1,0.001,50.0075,0.7500249999999999,2,,,,
41,0.1,0.001,50.0075,0.7500249999999999,6,,,,
42,0.1,0.001,50.0075,0.7500249999999999,11,,,,
43,0.1,0.001,50.0075,0.7500249999999999,15,,,,
44,0.1,0.001,50.0075,0.7500249999999999,20,,,,
45,0.1,0.001,50.0075,1.0,2,,,,
46,0.1,0.001,50.0075,1.0,6,,,,
47,0.1,0.001,50.0075,1.0,11,,,,
48,0.1,0.001,50.0075,1.0,15,,,,
49,0.1,0.001,50.0075,1.0,20,,,,
50,0.1,0.001,100.00500000000001,0.0001,2,,,,
51,0.1,0.001,100.00500000000001,0.0001,6,,,,
52,0.1,0.001,100.00500000000001,0.0001,11,,,,
53,0.1,0.001,100.00500000000001,0.0001,15,,,,
54,0.1,0.001,100.00500000000001,0.0001,20,,,,
55,0.1,0.001,100.00500000000001,0.250075,2,,,,
56,0.1,0.001,100.00500000000001,0.250075,6,,,,
57,0.1,0.001,100.00500000000001,0.250075,11,,,,
58,0.1,0.001,100.00500000000001,0.250075,15,,,,
59,0.1,0.001,100.00500000000001,0.250075,20,,,,
60,0.1,0.001,100.00500000000001,0.50005,2,,,,
61,0.1,0.001,100.00500000000001,0.50005,6,,,,
62,0.1,0.001,100.00500000000001,0.50005,11,,,,
63,0.1,0.001,100.00500000000001,0.50005,15,,,,
64,0.1,0.001,100.00500000000001,0.50005,20,,,,
65,0.1,0.001,100.00500000000001,0.7500249999999999,2,,,,
66,0.1,0.001,100.00500000000001,0.7500249999999999,6,,,,
67,0.1,0.001,100.00500000000001,0.7500249999999999,11,,,,
68,0.1,0.001,100.00500000000001,0.7500249999999999,15,,,,
69,0.1,0.001,100.00500000000001,0.7500249999999999,20,,,,
70,0.1,0.001,100.00500000000001,1.0,2,,,,
71,0.1,0.001,100.00500000000001,1.0,6,,,,
72,0.1,0.001,100.00500000000001,1.0,11,,,,
73,0.1,0.001,100.00500000000001,1.0,15,,,,
74,0.1,0.001,100.00500000000001,1.0,20,,,,
75,0.1,0.001,150.0025,0.0001,2,,,,
76,0.1,0.001,150.0025,0.0001,6,,,,
77,0.1,0.001,150.0025,0.0001,11,,,,
78,0.1,0.001,150.0025,0.0001,15,,,,
79,0.1,0.001,150.0025,0.0001,20,,,,
80,0.1,0.001,150.0025,0.250075,2,,,,
81,0.1,0.001,150.0025,0.250075,6,,,,
82,0.1,0.001,150.0025,0.250075,11,,,,
83,0.1,0.001,150.0025,0.250075,15,,,,
84,0.1,0.001,150.0025,0.250075,20,,,,
85,0.1,0.001,150.0025,0.50005,2,,,,
86,0.1,0.001,150.0025,0.50005,6,,,,
87,0.1,0.001,150.0025,0.50005,11,,,,
88,0.1,0.001,150.0025,0.50005,15,,,,
89,0.1,0.001,150.0025,0.50005,20,,,,
90,0.1,0.001,150.0025,0.7500249999999999,2,,,,
91,0.1,0.001,150.0025,0.7500249999999999,6,,,,
92,0.1,0.001,150.0025,0.7500249999999999,11,,,,
93,0.1,0.001,150.0025,0.7500249999999999,15,,,,
94,0.1,0.001,150.0025,0.7500249999999999,20,,,,
95,0.1,0.001,150.0025,1.0,2,,,,
96,0.1,0.001,150.0025,1.0,6,,,,
97,0.1,0.001,150.0025,1.0,11,,,,
98,0.1,0.001,150.0025,1.0,15,,,,
99,0.1,0.001,150.0025,1.0,20,,,,
100,0.1,0.001,200.0,0.0001,2,,,,
101,0.1,0.001,200.0,0.0001,6,,,,
102,0.1,0.001,200.0,0.0001,11,,,,
103,0.1,0.001,200.0,0.0001,15,,,,
104,0.1,0.001,200.0,0.0001,20,,,,
105,0.1,0.001,200.0,0.250075,2,,,,
106,0.1,0.001,200.0,0.250075,6,,,,
107,0.1,0.001,200.0,0.250075,11,,,,
108,0.1,0.001,200.0,0.250075,15,,,,
109,0.1,0.001,200.0,0.250075,20,,,,
110,0.1,0.001,200.0,0.50005,2,,,,
111,0.1,0.001,200.0,0.50005,6,,,,
112,0.1,0.001,200.0,0.50005,11,,,,
113,0.1,0.001,200.0,0.50005,15,,,,
114,0.1,0.001,200.0,0.50005,20,,,,
115,0.1,0.001,200.0,0.7500249999999999,2,,,,
116,0.1,0.001,200.0,0.7500249999999999,6,,,,
117,0.1,0.001,200.0,0.7500249999999999,11,,,,
118,0.1,0.001,200.0,0.7500249999999999,15,,,,
119,0.1,0.001,200.0,0.7500249999999999,20,,,,
120,0.1,0.001,200.0,1.0,2,,,,
121,0.1,0.001,200.0,1.0,6,,,,
122,0.1,0.001,200.0,1.0,11,,,,
123,0.1,0.001,200.0,1.0,15,,,,
124,0.1,0.001,200.0,1.0,20,,,,
